system:index,B11,B12,B2,B3,B4,B8,LST,MNDWI,MNDWI2,NBR,NBR2,NDMI,NDWI,TPI,dryness,elevation,elevation_class,greeness,latitude,longitude,slope,wetness,.geo
464,0.2262,0.17485,0.06895000000000001,0.09675,0.11130000000000001,0.22715000000000002,47.79007808000006,-0.40083605,-0.28755522,0.1300995,0.1280389,0.0020955112,-0.4025934,1.8099173553719008,0.7958505823314309,5,4,0.20025112674008433,-7.282013187658078,112.7983061233939,3.634494,0.003898290928484626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7983061233939,-7.282013187658078]}"
465,0.3687,0.2992,0.06709999999999999,0.10825000000000001,0.18830000000000002,0.29200000000000004,50.11774969999999,-0.54607403,-0.46864647,-0.012178619,0.10405749,-0.116088994,-0.45908806,1.272727272727273,0.8437963124867152,4,4,0.14887758212154512,-7.280396220146662,112.7983061233939,2.707894,0.007326105391739705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7983061233939,-7.280396220146662]}"
466,0.19985000000000003,0.1222,0.0239,0.055400000000000005,0.06175,0.2703,46.34767364000004,-0.56591576,-0.37612614,0.37732485,0.24111162,0.1498458,-0.65980965,1.231404958677686,0.7312646211416843,4,4,0.26873121456298504,-7.287403079362795,112.79615016671202,2.0865319,4.1642953306306235E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79615016671202,-7.287403079362795]}"
467,0.25930000000000003,0.1497,0.042100000000000005,0.08420000000000001,0.07490000000000001,0.3649,44.51219690000005,-0.5097526,-0.2800342,0.41818887,0.26797065,0.16917655,-0.62502784,2.165289256198347,0.7180303710223579,5,4,0.28188081935697523,-7.284169144339964,112.79884511256438,2.0764089,8.880962066687874E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79884511256438,-7.284169144339964]}"
468,0.17925000000000002,0.10740000000000001,0.033850000000000005,0.0665,0.048850000000000005,0.3137,45.14794862000002,-0.4587996,-0.23519264,0.48990738,0.2506541,0.27274573,-0.6501841,1.7613636363636362,0.767914450268874,4,4,0.23204059427017032,-7.278240263464776,112.80046208007579,1.0385429,4.495546095567152E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.80046208007579,-7.278240263464776]}"
469,0.26615,0.21860000000000002,0.06785000000000001,0.09720000000000001,0.10880000000000001,0.24795,49.09576172000004,-0.46497867,-0.3844205,0.06290858,0.0980918,-0.035401672,-0.43676662,1.5656565656565657,0.8469710529967178,4,4,0.15302894700328218,-7.28902004687421,112.7945331992006,1.6810182,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7945331992006,-7.28902004687421]}"
470,0.21550000000000002,0.1633,0.056400000000000006,0.07935,0.07565,0.2439,47.81742224000004,-0.46176022,-0.34597155,0.19793713,0.13780358,0.061819766,-0.5090487,0.6388888888888888,0.758357575139043,4,4,0.24164242486095716,-7.276084306782889,112.79022128583684,1.3167734,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79022128583684,-7.276084306782889]}"
471,0.264,0.17135,0.03265,0.06634999999999999,0.08435000000000001,0.2774,47.94730700000002,-0.5983048,-0.44173327,0.23632312,0.21281727,0.024750646,-0.61396366,2.125,0.8810266851081968,4,4,0.11894936732567997,-7.275545317612417,112.79561117754155,0.46373534,2.394756612311688E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79561117754155,-7.275545317612417]}"
472,0.15489999999999998,0.09325,0.02525,0.04855,0.03995,0.25015,45.59570924000002,-0.52273285,-0.31523272,0.45690158,0.24843845,0.23515615,-0.6749247,1.5702479338842976,0.46002384461740053,5,4,0.5179312437505652,-7.283091165999021,112.79345522085966,2.632177,0.022044911632034113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79345522085966,-7.283091165999021]}"
473,0.21485,0.13195,0.02855,0.058750000000000004,0.0533,0.3341,47.752479859999994,-0.57054096,-0.38384897,0.43375173,0.23904267,0.2172329,-0.70090365,0.8989898989898988,0.7647488860862035,4,4,0.23524780140614723,-7.276084306782889,112.79237724251871,0.6584737,3.31250764936527E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79237724251871,-7.276084306782889]}"
